review,rating,date,bank,source,LemmatizedText
Easy and fantastic to use,5,2025-02-18,CBE,Google Play,easy fantastic use
The way its menu arranged to use is easy to use.,5,2025-02-17,CBE,Google Play,way menu arrange use easy use
"Its not bad, but there are plenty of errors .",2,2025-02-17,CBE,Google Play,bad plenty error
Waw fantastic Aplication,5,2025-02-16,CBE,Google Play,waw fantastic aplication
I am satisfied by this Ap Thank you,5,2025-02-16,CBE,Google Play,satisfied ap thank
Best of the best application for ever,5,2025-02-16,CBE,Google Play,well good application
This app is better,5,2025-02-15,CBE,Google Play,app well
"It's very good in reminding the account numbers you have been used, but Need to show recipient history whenever you want to present it.or it has to have a search on options for a spesfic time you want to look for receipts with out going for account details at bank. if you lost your receipt without downloading it and need to look sometime a while you can't get in simple search on the app.",1,2025-02-15,CBE,Google Play,good reminding account number need recipient history want present itor search option spesfic time want look receipt go account detail bank lose receipt download need look not simple search app
It is good app,5,2025-02-15,CBE,Google Play,good app
"It crashes a lot; it doesn't work at all sometimes. By far, it is the worst mobile banking app I have ever used.",1,2025-02-15,CBE,Google Play,crash lot not work far bad mobile banking app
Very buggy!,2,2025-02-14,CBE,Google Play,buggy
a good apps to save my money &withdraw my money to service,5,2025-02-13,CBE,Google Play,good app save money withdraw money service
It's easy and good,5,2025-02-13,CBE,Google Play,easy good
It is best app,5,2025-02-13,CBE,Google Play,good app
It is not functioning most of the time,3,2025-02-13,CBE,Google Play,function time
It sends unwanted welcome notification every time you login. There is no way that you can disable this.,3,2025-02-13,CBE,Google Play,send unwanted welcome notification time login way disable
This app now not open what's problem? Please solve it,1,2025-02-13,CBE,Google Play,app open s problem solve
nice thanks,5,2025-02-13,CBE,Google Play,nice thank
በቅርቡ ችግር ተፈጥሯል ፣ Developer Option ካልተዘጋ አይሰራም፣ Developer Option ከተዘጋ ደግሞ ስልካችን ፍጥነት ለመታዘዝ ይዘገያል ፣ ከዚህ አማራጭ ሌላ ብትጠቀሙ ባይ ነኝ :: Android ላይ,1,2025-02-12,CBE,Google Play,developer option developer option android
Very nice i'm happy,5,2025-02-11,CBE,Google Play,nice m happy
It used to be better in the previous. But after the recent update it keeps crashing as soon as it logs in.. it needs to be fixed.,1,2025-02-11,CBE,Google Play,well previous recent update keep crash soon log need fix
Can't even load our transaction history!!,1,2025-02-11,CBE,Google Play,not load transaction history
"Great app, but try to include an access to water bill payment for places other than Adis Ababa & try top the app not to be inactive while developer option setting in Samsung phones is activated",4,2025-02-11,CBE,Google Play,great app try include access water bill payment place adis ababa try app inactive developer option set samsung phone activate
Very good app,5,2025-02-10,CBE,Google Play,good app
this app is very useful but sometimes when you want to see specific transactions it didn't work so that way i gave you 3,3,2025-02-10,CBE,Google Play,app useful want specific transaction not work way give
It's not bad 👍,2,2025-02-10,CBE,Google Play,bad
It shut down without warning,1,2025-02-10,CBE,Google Play,shut warn
"Best app of the bank.But,when it needs apdate,customer must be notified in my point of view.Otherwise,customers saying ""Mobile banking is not working today"" is bad moto.",5,2025-02-10,CBE,Google Play,good app bankbutwhen need apdatecustomer notify point viewotherwisecustomer say mobile banking work today bad moto
I use this app all the time on my business but sometimes it is difficult to use in rural areas. because there is not enough network. so what if you prepared it for the public to use offline?,3,2025-02-09,CBE,Google Play,use app time business difficult use rural area network prepare public use offline
This app is very interesting and simple to use.,5,2025-02-09,CBE,Google Play,app interesting simple use
"Add customer service please other than calling 951. Why would you have a mobile app but not an online text-based customer service? Why? Disappointing And I will never use the top-up feature again, I have been trying to recharge my safaricom balance but your app would say time out and then credit my account but never recharge my balance, why? Where is my money? Do you expect me to call 951 at midnight?",2,2025-02-08,CBE,Google Play,add customer service call mobile app online textbase customer service disappointing use topup feature try recharge safaricom balance app time credit account recharge balance money expect midnight
"Smart and easy to use, i like this app",5,2025-02-08,CBE,Google Play,smart easy use like app
The best app I love it,5,2025-02-08,CBE,Google Play,good app love
Is not useful,3,2025-02-08,CBE,Google Play,useful
It's ok,5,2025-02-08,CBE,Google Play,ok
It's good,5,2025-02-08,CBE,Google Play,good
Its good service,4,2025-02-07,CBE,Google Play,good service
Recent transactions doesn't load properly sometimes . And also when transferring to someone sometimes it says failed and but already transferred which might cause to double transfer,1,2025-02-07,CBE,Google Play,recent transaction not load properly transfer say failed transfer cause double transfer
"It used to work properly, but not anymore. I used to use the app from abroad; but these days, it kept saying ""unable to connect"" when I tried to check my balance and do transactions.",1,2025-02-07,CBE,Google Play,work properly anymore use app abroad day keep say unable connect try check balance transaction
Awash birr pro,1,2025-02-07,CBE,Google Play,awash birr pro
It is a very important application.,5,2025-02-07,CBE,Google Play,important application
To save my time best app to me i like this app tnx cbe !!!,5,2025-02-07,CBE,Google Play,save time good app like app tnx cbe
"It is a shame not to appreciate the recent system improvements that the Commercial Bank of Ethiopia has been making, and I have no doubt that it will be different from this, InshaAllah. Another thing I would like to comment on is that the current method for transferring money to Telebir can own be sent to the person. So, it is possible to send money directly from the Commercial Bank to other banks. If you make it possible to transfer money directly to anyone, I would be very grateful.thank you",5,2025-02-06,CBE,Google Play,shame appreciate recent system improvement commercial bank ethiopia make doubt different inshaallah thing like comment current method transfer money telebir send person possible send money directly commercial bank bank possible transfer money directly gratefulthank
Abyssinia BoA Mobile banking account,5,2025-07-30,BOA,Google Play,abyssinia boa mobile banking account
best bank in ethiopia,5,2025-07-29,BOA,Google Play,good bank ethiopia
please is not working,2,2025-07-27,BOA,Google Play,work
nothing when I need to install the Apk it say that re-up date,5,2025-07-25,BOA,Google Play,need install apk reup date
I can log in from any where,5,2025-07-23,BOA,Google Play,log
Great BoA,5,2025-07-14,BOA,Google Play,great boa
This App is Getting worse and worse with every update,2,2025-07-11,BOA,Google Play,app get worse bad update
awasome app go a head,5,2025-07-04,BOA,Google Play,awasome app head
it sucks as hell. it crashes most of the time and takes a long time to load .,1,2025-07-03,BOA,Google Play,suck hell crash time take long time load
"The App is nice and easy to use but after some time it crushed and said ""Error check your device connectivity"" please fix it",3,2025-07-02,BOA,Google Play,app nice easy use time crush say error check device connectivity fix
Smart app with smart bank,5,2025-07-02,BOA,Google Play,smart app smart bank
Easy and very nice app to load more than the previouse but in recent time some loading problem detected.,5,2025-07-01,BOA,Google Play,easy nice app load previouse recent time loading problem detect
"The worst MBA I have experienced, The app crush frequently and they take to long to fix the problem even more than a week.",1,2025-06-27,BOA,Google Play,bad mba experienced app crush frequently long fix problem week
good App fore me,5,2025-06-25,BOA,Google Play,good app fore
business main,5,2025-06-21,BOA,Google Play,business main
it's nice to use.,5,2025-06-21,BOA,Google Play,nice use
its very bad app its very slow,1,2025-06-17,BOA,Google Play,bad app slow
"as bank, u should at least hire someone good at their job bc this a joke nowadays I can't even log in or even transfer without it crashing if u fix the app I will update this review I am counting on u boa",1,2025-06-15,BOA,Google Play,bank u hire good job bc joke nowadays not log transfer crash u fix app update review count u boa
best financial app.,5,2025-06-12,BOA,Google Play,good financial app
the worst app humans ever created,1,2025-06-09,BOA,Google Play,bad app human create
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,2025-06-03,BOA,Google Play,hello m face problem boa mobile app time enter phone number password app crash show error say boamobile closed app bug try update reinstall clearing cache work fix bug update need access account thank
this is worest app 24/7 loading,1,2025-06-01,BOA,Google Play,wor app loading
BoA system is confartable,5,2025-06-01,BOA,Google Play,boa system confartable
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,2025-05-27,BOA,Google Play,app waste time not work not long piss fix problem
Good service.,3,2025-05-25,BOA,Google Play,good service
the app crush frequently,1,2025-05-24,BOA,Google Play,app crush frequently
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",1,2025-05-21,BOA,Google Play,app joke crash work take forever load half feature decorative point not log not transfer money not check balance bug developer actually try work kind social experiment test patience build sleep definitely look like idea functional app maybe consider different career path
BoA,2,2025-05-20,BOA,Google Play,boa
but not opening on android,4,2025-05-19,BOA,Google Play,open android
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,2025-05-18,BOA,Google Play,bad app totally unreliable not work month
"this app does no work on Samsung a51, it just gives a preview of the logo",1,2025-05-11,BOA,Google Play,app work samsung give preview logo
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,2025-05-10,BOA,Google Play,enter incorrect security question mistake boa app lock pin forever option contact different branchs time not able solve issue
liking this application good 👍,5,2025-05-07,BOA,Google Play,like application good
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",1,2025-05-06,BOA,Google Play,app future good problem app reset activate difficult branch staff take long time active branch plus time high expect failure activation process counter otp send work
it's really good 👍,5,2025-04-23,BOA,Google Play,good
Bad app . it stuck when you open and noting WORKS.,1,2025-04-23,BOA,Google Play,bad app stick open noting work
"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,2025-04-20,BOA,Google Play,app not work ask password start loading not open
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,2025-04-19,BOA,Google Play,keep show pop turn developer option tho turn work horrible experience need fix asap plus kinda slow
great boa,5,2025-04-10,BOA,Google Play,great boa
boa of mobile backing,5,2025-04-09,BOA,Google Play,boa mobile backing
faster bank of Abissinya,5,2025-04-08,BOA,Google Play,fast bank abissinya
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,2025-04-08,BOA,Google Play,give low possible crush bank long fix bug
it just doesn't work...so frustrating,1,2025-04-07,BOA,Google Play,not workso frustrating
